date,temp_max,temp_min,temp_mean,city
2023-09-14,33.9,26.1,30.0,Florida
2023-09-15,32.8,25.6,28.0,Florida
2023-09-16,32.8,24.4,28.1,Florida
2023-09-17,33.3,25.0,27.9,Florida
2023-09-18,34.4,25.0,28.7,Florida
2023-09-19,33.9,22.8,28.1,Florida
2023-09-20,33.3,25.6,27.6,Florida
2023-09-21,33.9,23.9,27.9,Florida
2023-09-22,32.8,24.4,27.5,Florida
2023-09-23,30.0,24.4,27.3,Florida
2023-09-24,32.8,22.2,28.3,Florida
2023-09-25,33.3,22.2,27.6,Florida
2023-09-26,32.8,25.6,29.4,Florida
2023-09-27,31.7,25.0,28.2,Florida
2023-09-28,32.2,25.6,27.8,Florida
2023-09-29,33.9,26.7,29.2,Florida
2023-09-30,33.9,26.7,29.0,Florida
2023-10-01,33.9,26.1,28.5,Florida
2023-10-02,30.6,25.6,27.8,Florida
2023-10-03,31.7,26.7,28.4,Florida
2023-10-04,32.2,25.6,28.8,Florida
2023-10-05,32.8,25.6,29.0,Florida
2023-10-06,33.3,24.4,28.8,Florida
2023-10-07,33.3,25.6,29.2,Florida
2023-10-08,32.8,24.4,28.2,Florida
2023-10-09,31.1,25.6,27.4,Florida
2023-10-10,32.8,25.6,28.4,Florida
2023-10-11,31.1,25.6,28.5,Florida
2023-10-12,33.9,28.9,30.7,Florida
2023-10-13,35.0,28.3,30.6,Florida
2023-10-14,30.6,26.7,28.8,Florida
2023-10-15,32.2,24.4,28.3,Florida
2023-10-16,26.1,20.6,24.7,Florida
2023-10-17,25.0,17.2,21.4,Florida
2023-10-18,28.9,18.9,22.9,Florida
2023-10-19,30.0,22.2,25.6,Florida
2023-10-20,29.4,23.9,26.4,Florida
2023-10-21,31.7,20.0,25.7,Florida
2023-10-22,30.6,23.3,26.4,Florida
2023-10-23,31.1,20.0,26.4,Florida
2023-10-24,30.0,25.0,27.2,Florida
2023-10-25,30.6,25.0,27.0,Florida
2023-10-26,30.6,25.0,27.3,Florida
2023-10-27,30.0,25.6,27.6,Florida
2023-10-28,30.0,26.1,27.4,Florida
2023-10-29,30.6,25.6,27.6,Florida
2023-10-30,31.7,25.6,27.8,Florida
2023-10-31,32.8,24.4,28.3,Florida
2023-11-01,30.6,22.2,27.0,Florida
2023-11-02,27.2,22.2,24.5,Florida
2023-11-03,28.9,24.4,25.9,Florida
2023-11-04,28.9,23.3,25.5,Florida
2023-11-05,30.0,21.7,25.0,Florida
2023-11-06,30.0,20.0,24.6,Florida
2023-11-07,30.6,22.2,26.0,Florida
2023-11-08,30.0,21.7,25.9,Florida
2023-11-09,30.6,23.3,26.4,Florida
2023-11-10,31.7,24.4,27.8,Florida
2023-11-11,31.7,26.7,28.7,Florida
2023-11-12,31.1,24.4,27.8,Florida
2023-11-13,30.6,23.9,27.2,Florida
2023-11-14,28.9,23.3,25.8,Florida
2023-11-15,27.2,20.6,25.3,Florida
2023-11-16,26.7,20.6,23.6,Florida
2023-11-17,28.3,23.3,25.0,Florida
2023-11-18,26.1,22.2,24.1,Florida
2023-11-19,29.4,21.1,24.3,Florida
2023-11-20,30.0,20.6,25.3,Florida
2023-11-21,29.4,24.4,26.3,Florida
2023-11-22,30.0,21.7,26.3,Florida
2023-11-23,29.4,22.8,25.7,Florida
2023-11-24,28.3,21.7,25.1,Florida
2023-11-25,28.9,22.2,24.5,Florida
2023-11-26,29.4,23.9,26.4,Florida
2023-11-27,27.2,20.6,25.1,Florida
2023-11-28,25.0,17.8,21.2,Florida
2023-11-29,25.0,15.0,19.2,Florida
2023-11-30,27.8,16.7,22.2,Florida
2023-12-01,29.4,20.0,25.1,Florida
2023-12-02,30.0,25.0,26.9,Florida
2023-12-03,31.7,22.8,27.2,Florida
2023-12-04,30.0,22.2,26.1,Florida
2023-12-05,28.9,20.6,25.3,Florida
2023-12-06,21.7,15.6,19.6,Florida
2023-12-07,23.9,13.9,17.9,Florida
2023-12-08,26.1,17.8,22.4,Florida
2023-12-09,28.3,23.3,24.7,Florida
2023-12-10,28.3,21.1,25.2,Florida
2023-12-11,22.8,16.1,21.6,Florida
2023-12-12,25.0,15.0,19.0,Florida
2023-12-13,23.9,22.2,23.3,Florida
2023-12-14,23.3,21.1,22.4,Florida
2023-12-15,23.3,20.0,22.2,Florida
2023-12-16,24.4,21.7,22.9,Florida
2023-12-17,26.1,18.3,23.8,Florida
2023-12-18,23.3,15.6,19.4,Florida
2023-12-19,22.8,12.8,17.2,Florida
2023-12-20,21.7,13.9,18.2,Florida
2023-12-21,25.0,20.6,21.8,Florida
2023-12-22,24.4,18.9,21.3,Florida
2023-12-23,26.1,18.3,21.8,Florida
2023-12-24,26.1,20.6,22.8,Florida
2023-12-25,24.4,22.2,23.3,Florida
