period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2025-12-25,CAL,California,D,Demand,Central,Central,648960,megawatthours
2025-12-25,CAR,Carolinas,D,Demand,Central,Central,426757,megawatthours
2025-12-25,FLA,Florida,D,Demand,Central,Central,564735,megawatthours
2025-12-25,NY,New York,D,Demand,Central,Central,403690,megawatthours
2025-12-25,TEN,Tennessee,D,Demand,Central,Central,335591,megawatthours
2025-12-25,TEX,Texas,D,Demand,Central,Central,1131828,megawatthours
2025-12-24,CAL,California,D,Demand,Central,Central,695435,megawatthours
2025-12-24,CAR,Carolinas,D,Demand,Central,Central,457063,megawatthours
2025-12-24,FLA,Florida,D,Demand,Central,Central,591983,megawatthours
2025-12-24,NY,New York,D,Demand,Central,Central,416801,megawatthours
2025-12-24,TEN,Tennessee,D,Demand,Central,Central,359833,megawatthours
2025-12-24,TEX,Texas,D,Demand,Central,Central,1178925,megawatthours
2025-12-23,CAL,California,D,Demand,Central,Central,724708,megawatthours
2025-12-23,CAR,Carolinas,D,Demand,Central,Central,547029,megawatthours
2025-12-23,FLA,Florida,D,Demand,Central,Central,611159,megawatthours
2025-12-23,NY,New York,D,Demand,Central,Central,449593,megawatthours
2025-12-23,TEN,Tennessee,D,Demand,Central,Central,400704,megawatthours
2025-12-23,TEX,Texas,D,Demand,Central,Central,1213147,megawatthours
2025-12-22,CAL,California,D,Demand,Central,Central,697973,megawatthours
2025-12-22,CAR,Carolinas,D,Demand,Central,Central,608768,megawatthours
2025-12-22,FLA,Florida,D,Demand,Central,Central,610100,megawatthours
2025-12-22,NY,New York,D,Demand,Central,Central,448217,megawatthours
2025-12-22,TEN,Tennessee,D,Demand,Central,Central,467473,megawatthours
2025-12-22,TEX,Texas,D,Demand,Central,Central,1193281,megawatthours
2025-12-21,CAL,California,D,Demand,Central,Central,625110,megawatthours
2025-12-21,CAR,Carolinas,D,Demand,Central,Central,569099,megawatthours
2025-12-21,FLA,Florida,D,Demand,Central,Central,610862,megawatthours
2025-12-21,NY,New York,D,Demand,Central,Central,420817,megawatthours
2025-12-21,TEN,Tennessee,D,Demand,Central,Central,433478,megawatthours
2025-12-21,TEX,Texas,D,Demand,Central,Central,1142550,megawatthours
2025-12-20,CAL,California,D,Demand,Central,Central,636634,megawatthours
2025-12-20,CAR,Carolinas,D,Demand,Central,Central,645033,megawatthours
2025-12-20,FLA,Florida,D,Demand,Central,Central,607102,megawatthours
2025-12-20,NY,New York,D,Demand,Central,Central,425839,megawatthours
2025-12-20,TEN,Tennessee,D,Demand,Central,Central,481908,megawatthours
2025-12-20,TEX,Texas,D,Demand,Central,Central,1159178,megawatthours
2025-12-19,CAL,California,D,Demand,Central,Central,723759,megawatthours
2025-12-19,CAR,Carolinas,D,Demand,Central,Central,562364,megawatthours
2025-12-19,FLA,Florida,D,Demand,Central,Central,650581,megawatthours
2025-12-19,NY,New York,D,Demand,Central,Central,432000,megawatthours
2025-12-19,TEN,Tennessee,D,Demand,Central,Central,488122,megawatthours
2025-12-19,TEX,Texas,D,Demand,Central,Central,1205183,megawatthours
2025-12-18,CAL,California,D,Demand,Central,Central,737589,megawatthours
2025-12-18,CAR,Carolinas,D,Demand,Central,Central,625986,megawatthours
2025-12-18,FLA,Florida,D,Demand,Central,Central,628357,megawatthours
2025-12-18,NY,New York,D,Demand,Central,Central,428453,megawatthours
2025-12-18,TEN,Tennessee,D,Demand,Central,Central,447068,megawatthours
2025-12-18,TEX,Texas,D,Demand,Central,Central,1168588,megawatthours
2025-12-17,CAL,California,D,Demand,Central,Central,758363,megawatthours
2025-12-17,CAR,Carolinas,D,Demand,Central,Central,718416,megawatthours
2025-12-17,FLA,Florida,D,Demand,Central,Central,609338,megawatthours
2025-12-17,NY,New York,D,Demand,Central,Central,459720,megawatthours
2025-12-17,TEN,Tennessee,D,Demand,Central,Central,491974,megawatthours
2025-12-17,TEX,Texas,D,Demand,Central,Central,1152909,megawatthours
2025-12-16,CAL,California,D,Demand,Central,Central,774047,megawatthours
2025-12-16,CAR,Carolinas,D,Demand,Central,Central,803930,megawatthours
2025-12-16,FLA,Florida,D,Demand,Central,Central,624791,megawatthours
2025-12-16,NY,New York,D,Demand,Central,Central,479818,megawatthours
2025-12-16,TEN,Tennessee,D,Demand,Central,Central,564343,megawatthours
2025-12-16,TEX,Texas,D,Demand,Central,Central,1260323,megawatthours
2025-12-15,CAL,California,D,Demand,Central,Central,775592,megawatthours
2025-12-15,CAR,Carolinas,D,Demand,Central,Central,931477,megawatthours
2025-12-15,FLA,Florida,D,Demand,Central,Central,629076,megawatthours
2025-12-15,NY,New York,D,Demand,Central,Central,499813,megawatthours
2025-12-15,TEN,Tennessee,D,Demand,Central,Central,656073,megawatthours
2025-12-15,TEX,Texas,D,Demand,Central,Central,1347087,megawatthours
2025-12-14,CAL,California,D,Demand,Central,Central,713634,megawatthours
2025-12-14,CAR,Carolinas,D,Demand,Central,Central,688700,megawatthours
2025-12-14,FLA,Florida,D,Demand,Central,Central,600106,megawatthours
2025-12-14,NY,New York,D,Demand,Central,Central,459990,megawatthours
2025-12-14,TEN,Tennessee,D,Demand,Central,Central,606468,megawatthours
2025-12-14,TEX,Texas,D,Demand,Central,Central,1232803,megawatthours
2025-12-13,CAL,California,D,Demand,Central,Central,727871,megawatthours
2025-12-13,CAR,Carolinas,D,Demand,Central,Central,662512,megawatthours
2025-12-13,FLA,Florida,D,Demand,Central,Central,587786,megawatthours
2025-12-13,NY,New York,D,Demand,Central,Central,446297,megawatthours
2025-12-13,TEN,Tennessee,D,Demand,Central,Central,473004,megawatthours
2025-12-13,TEX,Texas,D,Demand,Central,Central,1139662,megawatthours
2025-12-12,CAL,California,D,Demand,Central,Central,761302,megawatthours
2025-12-12,CAR,Carolinas,D,Demand,Central,Central,729661,megawatthours
2025-12-12,FLA,Florida,D,Demand,Central,Central,612124,megawatthours
2025-12-12,NY,New York,D,Demand,Central,Central,467331,megawatthours
2025-12-12,TEN,Tennessee,D,Demand,Central,Central,485084,megawatthours
2025-12-12,TEX,Texas,D,Demand,Central,Central,1151801,megawatthours
2025-12-11,CAL,California,D,Demand,Central,Central,775925,megawatthours
2025-12-11,CAR,Carolinas,D,Demand,Central,Central,697283,megawatthours
2025-12-11,FLA,Florida,D,Demand,Central,Central,592984,megawatthours
2025-12-11,NY,New York,D,Demand,Central,Central,464127,megawatthours
2025-12-11,TEN,Tennessee,D,Demand,Central,Central,519283,megawatthours
2025-12-11,TEX,Texas,D,Demand,Central,Central,1182718,megawatthours
2025-12-10,CAL,California,D,Demand,Central,Central,770954,megawatthours
2025-12-10,CAR,Carolinas,D,Demand,Central,Central,673210,megawatthours
2025-12-10,FLA,Florida,D,Demand,Central,Central,613961,megawatthours
2025-12-10,NY,New York,D,Demand,Central,Central,456963,megawatthours
2025-12-10,TEN,Tennessee,D,Demand,Central,Central,501333,megawatthours
2025-12-10,TEX,Texas,D,Demand,Central,Central,1200731,megawatthours
2025-12-09,CAL,California,D,Demand,Central,Central,774125,megawatthours
2025-12-09,CAR,Carolinas,D,Demand,Central,Central,718396,megawatthours
2025-12-09,FLA,Florida,D,Demand,Central,Central,603781,megawatthours
2025-12-09,NY,New York,D,Demand,Central,Central,479786,megawatthours
2025-12-09,TEN,Tennessee,D,Demand,Central,Central,453006,megawatthours
2025-12-09,TEX,Texas,D,Demand,Central,Central,1258567,megawatthours
2025-12-08,CAL,California,D,Demand,Central,Central,757870,megawatthours
2025-12-08,CAR,Carolinas,D,Demand,Central,Central,679843,megawatthours
2025-12-08,FLA,Florida,D,Demand,Central,Central,627193,megawatthours
2025-12-08,NY,New York,D,Demand,Central,Central,459311,megawatthours
2025-12-08,TEN,Tennessee,D,Demand,Central,Central,381426,megawatthours
2025-12-08,TEX,Texas,D,Demand,Central,Central,1266771,megawatthours
2025-12-07,CAL,California,D,Demand,Central,Central,692896,megawatthours
2025-12-07,CAR,Carolinas,D,Demand,Central,Central,624314,megawatthours
2025-12-07,FLA,Florida,D,Demand,Central,Central,626861,megawatthours
2025-12-07,NY,New York,D,Demand,Central,Central,415891,megawatthours
2025-12-07,TEN,Tennessee,D,Demand,Central,Central,480427,megawatthours
2025-12-07,TEX,Texas,D,Demand,Central,Central,1165350,megawatthours
2025-12-06,CAL,California,D,Demand,Central,Central,706023,megawatthours
2025-12-06,CAR,Carolinas,D,Demand,Central,Central,615715,megawatthours
2025-12-06,FLA,Florida,D,Demand,Central,Central,641933,megawatthours
2025-12-06,NY,New York,D,Demand,Central,Central,427742,megawatthours
2025-12-06,TEN,Tennessee,D,Demand,Central,Central,497658,megawatthours
2025-12-06,TEX,Texas,D,Demand,Central,Central,1196909,megawatthours
2025-12-05,CAL,California,D,Demand,Central,Central,748414,megawatthours
2025-12-05,CAR,Carolinas,D,Demand,Central,Central,626331,megawatthours
2025-12-05,FLA,Florida,D,Demand,Central,Central,639085,megawatthours
2025-12-05,NY,New York,D,Demand,Central,Central,469072,megawatthours
2025-12-05,TEN,Tennessee,D,Demand,Central,Central,526488,megawatthours
2025-12-04,CAL,California,D,Demand,Central,Central,744778,megawatthours
2025-12-04,CAR,Carolinas,D,Demand,Central,Central,653907,megawatthours
2025-12-04,FLA,Florida,D,Demand,Central,Central,615008,megawatthours
2025-12-04,NY,New York,D,Demand,Central,Central,449323,megawatthours
2025-12-04,TEN,Tennessee,D,Demand,Central,Central,555442,megawatthours
