city,date,pm25,temp_max,temp_min,temp_mean,electricity_mwh
California,2023-09-14,13.625,25.0,19.0,21.4,816728.0
California,2023-09-15,14.016666666666667,24.0,19.0,21.2,809940.0
California,2023-09-16,10.370833333333334,22.0,19.0,20.5,750465.0
California,2023-09-17,7.220833333333334,23.0,19.0,20.9,702396.0
California,2023-09-18,9.1625,25.0,18.0,20.9,759950.0
California,2023-09-19,9.737499999999999,25.0,17.0,20.3,757894.0
California,2023-09-20,10.0,24.0,19.0,20.8,755851.0
California,2023-09-21,19.425,22.0,17.0,19.9,740067.0
California,2023-09-22,26.541666666666668,23.0,16.0,19.4,724430.0
California,2023-09-23,26.370833333333334,24.0,16.0,19.9,677511.0
California,2023-09-24,27.53333333333333,25.0,17.0,20.2,665591.0
California,2023-09-25,24.741666666666664,24.0,16.0,19.5,732309.0
California,2023-09-26,13.779166666666667,27.0,16.0,21.1,756571.0
California,2023-09-27,12.020833333333334,26.0,17.0,21.1,759884.0
California,2023-09-28,14.383333333333333,25.0,19.0,20.7,753387.0
California,2023-09-29,14.295833333333334,22.0,19.0,20.2,741114.0
California,2023-09-30,8.395833333333334,21.0,17.0,19.0,670746.0
California,2023-10-01,6.2749999999999995,21.0,15.0,17.9,625287.0
California,2023-10-02,10.0875,22.0,14.0,17.9,676614.0
California,2023-10-03,11.237499999999999,27.0,13.0,20.6,709380.0
California,2023-10-04,15.454166666666666,30.0,15.9,23.1,760833.0
California,2023-10-05,13.230434782608697,34.0,18.0,25.0,826116.0
California,2023-10-06,13.325000000000001,33.0,18.0,24.9,845270.0
California,2023-10-07,13.945833333333333,31.0,18.0,23.3,783711.0
California,2023-10-08,16.2625,27.0,17.8,21.1,758343.0
California,2023-10-09,18.341666666666665,25.0,17.0,19.7,759955.0
California,2023-10-10,9.560869565217391,24.0,16.0,19.5,735168.0
California,2023-10-11,9.125,24.0,16.3,20.6,711725.0
California,2023-10-12,12.674999999999999,27.0,13.8,20.3,708903.0
California,2023-10-13,14.7875,27.0,16.0,20.2,719542.0
California,2023-10-14,15.470833333333333,27.0,16.0,20.4,673346.0
California,2023-10-15,15.5625,31.0,16.0,22.5,670873.0
California,2023-10-16,12.504166666666668,28.0,17.0,21.6,753099.0
California,2023-10-17,17.254166666666666,27.0,17.8,20.9,769614.0
California,2023-10-18,18.9875,26.0,17.0,20.8,790290.0
California,2023-10-19,18.14166666666667,27.0,15.1,20.6,809705.0
California,2023-10-20,13.841666666666667,29.0,18.0,22.4,804183.0
California,2023-10-21,13.583333333333334,28.0,18.0,21.3,713714.0
California,2023-10-22,9.920833333333333,24.0,15.0,19.1,661415.0
California,2023-10-23,5.221739130434783,23.0,18.0,19.9,712292.0
California,2023-10-24,8.925,24.0,16.0,19.3,700959.0
California,2023-10-25,8.582608695652175,22.0,18.0,19.6,718019.0
California,2023-10-26,8.405,22.0,17.0,19.1,693369.0
California,2023-10-27,12.095833333333333,23.0,14.0,18.0,684778.0
California,2023-10-28,13.720833333333333,23.0,13.0,17.7,628063.0
California,2023-10-29,13.91304347826087,26.0,13.0,19.0,606050.0
California,2023-10-30,14.678260869565218,27.0,10.0,18.3,672427.0
California,2023-10-31,10.175,28.9,12.0,19.9,682894.0
California,2023-11-01,10.033333333333333,29.0,16.0,21.8,699549.0
California,2023-11-02,13.747826086956522,28.0,15.0,21.1,711943.0
California,2023-11-03,16.447619047619046,28.0,13.0,19.1,699819.0
California,2023-11-04,22.150000000000002,26.0,12.0,18.0,650414.0
California,2023-11-05,22.38695652173913,27.0,13.0,18.5,609446.0
California,2023-11-06,20.7375,24.0,13.0,18.1,685084.0
California,2023-11-07,6.222727272727273,22.0,16.7,18.8,696040.0
California,2023-11-08,11.15,26.0,12.0,18.8,692304.0
California,2023-11-09,17.133333333333333,26.0,10.8,18.0,691363.0
California,2023-11-10,13.295833333333334,24.0,11.0,17.0,676998.0
California,2023-11-11,23.583333333333332,26.0,11.0,18.0,632828.0
California,2023-11-12,20.125,29.0,13.0,20.2,621102.0
California,2023-11-13,19.15,24.0,13.0,17.7,678010.0
California,2023-11-14,20.747826086956522,26.0,11.0,17.8,690922.0
California,2023-11-15,21.058333333333334,22.0,13.0,16.0,713933.0
California,2023-11-16,10.547619047619047,23.0,13.8,18.2,700525.0
California,2023-11-17,13.762500000000001,24.0,13.3,18.1,696643.0
California,2023-11-18,7.383333333333333,21.0,15.6,18.5,659989.0
California,2023-11-19,5.583333333333333,22.0,14.0,18.0,628842.0
California,2023-11-20,14.254166666666668,23.0,11.0,16.5,680175.0
California,2023-11-21,14.258333333333333,27.0,11.0,18.3,703986.0
California,2023-11-22,8.104166666666666,27.0,11.6,19.4,698048.0
California,2023-11-23,14.329166666666666,22.0,14.0,17.7,621849.0
California,2023-11-24,10.883333333333333,21.0,14.0,16.8,625737.0
California,2023-11-25,16.1375,21.0,12.0,15.7,628032.0
California,2023-11-26,15.433333333333332,22.0,10.0,15.4,637327.0
California,2023-11-27,10.108333333333333,22.0,11.0,16.1,704367.0
California,2023-11-28,9.558333333333334,22.0,11.0,16.1,713989.0
California,2023-11-29,12.821739130434782,18.0,11.0,14.8,724421.0
California,2023-11-30,9.075,19.0,11.0,14.7,726561.0
California,2023-12-01,8.754166666666666,20.0,13.0,16.2,713994.0
California,2023-12-02,12.181818181818182,19.0,9.0,14.2,665127.0
California,2023-12-03,26.847826086956523,21.0,9.0,14.5,646342.0
California,2023-12-04,29.129166666666666,24.0,11.0,16.7,693042.0
California,2023-12-05,15.929166666666667,28.0,13.0,19.4,698948.0
California,2023-12-06,20.21,23.0,13.0,17.3,712819.0
California,2023-12-07,13.08235294117647,19.0,14.0,16.4,706098.0
California,2023-12-08,13.965217391304348,21.0,11.0,14.6,707613.0
California,2023-12-09,14.64782608695652,22.0,9.0,15.2,662734.0
California,2023-12-10,9.382608695652173,24.0,10.0,16.6,672391.0
California,2023-12-11,13.491666666666667,23.0,11.0,16.3,723585.0
California,2023-12-12,18.46,20.0,10.0,14.2,730206.0
California,2023-12-13,19.758333333333333,20.0,12.0,15.2,733149.0
California,2023-12-14,15.816666666666668,24.0,10.0,15.9,737043.0
California,2023-12-15,11.152173913043478,26.0,13.0,18.1,728953.0
California,2023-12-16,9.995833333333334,26.0,6.9,17.6,680717.0
California,2023-12-17,16.360869565217392,26.0,9.6,18.6,681986.0
California,2023-12-18,21.020833333333332,22.0,15.0,18.4,732302.0
California,2023-12-19,13.895833333333334,20.0,15.0,17.0,727011.0
California,2023-12-20,6.8,18.3,16.0,16.5,731668.0
California,2023-12-21,4.395833333333333,17.0,14.1,15.4,718743.0
California,2023-12-22,5.752631578947368,19.0,14.0,16.9,697732.0
California,2023-12-23,9.304166666666665,18.0,12.0,14.9,656681.0
California,2023-12-24,22.9875,19.0,12.0,15.1,647955.0
California,2023-12-25,59.225,19.0,10.0,14.4,631902.0
California,2023-12-26,31.62857142857143,19.0,10.1,14.8,676623.0
