state,date,year,month,green_percentage,image_count
New York,2023-09-01,2023,9,84.67572706027062,1906
New York,2023-10-01,2023,10,66.12400473252518,1860
New York,2023-11-01,2023,11,58.97607585252997,1598
New York,2023-12-01,2023,12,54.67377763776232,1340
New York,2024-01-01,2024,1,9.810999666615222,1220
New York,2024-02-01,2024,2,34.240835768875215,1340
New York,2024-03-01,2024,3,50.98699547348912,1206
New York,2024-04-01,2024,4,72.54347254876994,1534
New York,2024-05-01,2024,5,73.93030814908703,1658
New York,2024-06-01,2024,6,81.02523960098644,1720
New York,2024-07-01,2024,7,82.15347992968046,1676
New York,2024-08-01,2024,8,84.52728335007247,2085
New York,2024-09-01,2024,9,84.95967891829784,1805
New York,2024-10-01,2024,10,84.35038619605622,2353
New York,2024-11-01,2024,11,79.7261745561771,1579
New York,2024-12-01,2024,12,14.644716944060821,1606
New York,2025-01-01,2025,1,6.7354985690438856,1665
New York,2025-02-01,2025,2,8.762530592437466,1258
New York,2025-03-01,2025,3,59.55440087400425,2015
New York,2025-04-01,2025,4,69.88772389470275,1824
New York,2025-05-01,2025,5,70.88984676068415,1826
New York,2025-06-01,2025,6,68.57657350560605,1947
New York,2025-07-01,2025,7,84.45878873742745,2255
New York,2025-08-01,2025,8,85.50370808002575,2408
New York,2025-09-01,2025,9,82.08584617807635,2141
New York,2025-10-01,2025,10,84.88793259724373,2670
New York,2025-11-01,2025,11,34.06373444877785,2185
New York,2025-12-01,2025,12,13.374980706158087,1412
Florida,2023-09-01,2023,9,71.01180865178233,1906
Florida,2023-10-01,2023,10,76.28259988428134,1860
Florida,2023-11-01,2023,11,79.10532987708314,1598
Florida,2023-12-01,2023,12,77.91502758139136,1340
Florida,2024-01-01,2024,1,49.46979801027345,1220
Florida,2024-02-01,2024,2,76.73103832527644,1340
Florida,2024-03-01,2024,3,57.14900667569174,1206
Florida,2024-04-01,2024,4,77.42228311233818,1534
Florida,2024-05-01,2024,5,66.9650228334142,1658
Florida,2024-06-01,2024,6,63.916990691374885,1720
Florida,2024-07-01,2024,7,55.96932480562744,1676
Florida,2024-08-01,2024,8,56.581108048595055,2085
Florida,2024-09-01,2024,9,61.24110878663378,1805
Florida,2024-10-01,2024,10,77.29116395650756,2353
Florida,2024-11-01,2024,11,77.93990490920973,1579
Florida,2024-12-01,2024,12,74.92296991069959,1606
Florida,2025-01-01,2025,1,77.83081436141879,1665
Florida,2025-02-01,2025,2,74.52046305995029,1258
Florida,2025-03-01,2025,3,77.74467161906419,2015
